"face","leftFish","rightFish","correctResponse"
"woman","red","blue","left"
"woman","blue","red","right"
"woman","green","purple","left"
"woman","purple","green","right"
"boy","red","blue","left"
"boy","blue","red","right"
"boy","green","purple","left"
"boy","purple","green","right"
"girl","blue","red","left"
"girl","red","blue","right"
"girl","purple","green","left"
"girl","green","purple","right"
"man","blue","red","left"
"man","red","blue","right"
"man","purple","green","left"
"man","green","purple","right"
